Name;Size;Coat;Color
Abyssinian Cat;Small to medium;Medium;Ruddy, red, blue, fawn 
Bengal Cat;Medium to large;Medium;Bright orange to light brown
British Shorthair Cat Breed;Medium to large;Short, plush, dense;Blue, white, black, red, cream, smoke, silver and golden
Egyptian Mau Cat;Medium;Short to medium;Silver, bronze and smoke
Siberian Cat;Medium to large;Semi-long;White, black, blue, red, cream and silver, plus various patterns and shadings
